title,amount,category,date,note
Lunch at restaurant,350.00,Food & Dining,2025-04-01,Team lunch
Uber to office,120.00,Transport,2025-04-02,Morning commute
Grocery shopping,890.00,Food & Dining,2025-04-03,Monthly groceries
Netflix subscription,499.00,Entertainment,2025-04-03,Monthly plan
Electricity bill,1200.00,Utilities,2025-04-05,April bill
Online course,1999.00,Education,2025-04-06,Python Bootcamp
Medicine,450.00,Health,2025-04-07,Vitamins
Dinner out,620.00,Food & Dining,2025-04-08,Birthday dinner
Bus pass,300.00,Transport,2025-04-09,Monthly pass
Amazon order,750.00,Shopping,2025-04-10,Books
Coffee,80.00,Food & Dining,2025-04-11,Cafe
Gym membership,999.00,Health,2025-04-12,Monthly
Movie tickets,500.00,Entertainment,2025-04-13,Weekend movie
Internet bill,799.00,Utilities,2025-04-14,Broadband
Swiggy order,320.00,Food & Dining,2025-04-15,Dinner
Petrol,800.00,Transport,2025-04-16,Full tank
Clothes,1500.00,Shopping,2025-04-17,Summer shopping
Spotify,119.00,Entertainment,2025-04-18,Premium
Doctor visit,600.00,Health,2025-04-19,Checkup
Stationery,200.00,Education,2025-04-20,Notebooks
Lunch,280.00,Food & Dining,2025-04-21,Office canteen
Auto rickshaw,150.00,Transport,2025-04-22,Evening
Shoes,2200.00,Shopping,2025-04-23,Sports shoes
OTT combo,649.00,Entertainment,2025-04-24,Prime + Hotstar
Water bill,180.00,Utilities,2025-04-25,Monthly
Tuition,3000.00,Education,2025-04-26,Coaching class
Pharmacy,380.00,Health,2025-04-27,Prescription
Breakfast,150.00,Food & Dining,2025-04-28,Hotel stay
Cab,200.00,Transport,2025-04-29,Airport drop
Gadget,3500.00,Shopping,2025-04-30,Earphones
Lunch,300.00,Food & Dining,2025-03-03,Office
Train ticket,450.00,Transport,2025-03-05,Weekend trip
Zomato,410.00,Food & Dining,2025-03-08,Dinner
Electricity,1100.00,Utilities,2025-03-10,March bill
Bookstore,650.00,Education,2025-03-12,Reference books
Clinic,700.00,Health,2025-03-14,ENT doctor
T-shirt,599.00,Shopping,2025-03-16,Sale
Cinema,400.00,Entertainment,2025-03-18,Matinee
Chai,50.00,Food & Dining,2025-03-20,Street food
Petrol,750.00,Transport,2025-03-22,Refill
Grocery,960.00,Food & Dining,2025-03-25,Vegetables and fruits
WiFi,799.00,Utilities,2025-03-28,Monthly
